ID|Empresa /Caso|industria_inferida|industria_general|industria_inferida_en|industria_general_en
iSkWd31X7zo|TecnologíaConnect: Tecnología Powered Sports with IoT Machine Learning|Deportes / SportsTech / IoT|Deportes|Sports / Sportstech / Iot|Sports
FftalZUxyiM|CEPSA: Finding the Best Internal Talent Using Amazon Neptune|Energía / Oil&Gas / HR Tech|Energía|Energy / oil & gas / hr tech|Energy
E8BGpIxzYc4|TownSq: Providing Performance Insights to Community Managers|PropTech / Gestión de comunidades|Transformación Digital|Proptech / Communities Management|Consulting and Digital Transformation
J4vHfpL66Zk|Lean Grids Services: Adaptable Data Platform Based on a Serverless Architecture|Energía / Utilities / Redes inteligentes|Energía|Energy / Utilities / Smart Networks|Energy
vdujJAab1LM|ShopFully International Group: Serverless Global Log Ingestion Analytics System|Retail / Marketing Tech (retail analytics)|Retail|Retail / Marketing Tech (Retail Analytics)|Retail
m8xtR3-ZQs8|Biogen: Centralized Logging Solution for Multi Accounts|Biotech / Pharma (empresa biotech)|Salud|Biotech / Pharma (Biotech company)|Health
pZ7Lr94noLo|Aventri: SaaS Solution for Event Management|Eventos / SaaS eventos|Transformación Digital|Events / Saas Events|Consulting and Digital Transformation
kHPGZOpbnok|Ookla: Speedtest Intelligence Process 4 000 Reports per Second|Telecom / Medición de red|Tecnología|Telecom / Network Measurement|Technology
cnZeOytEkIM|Property Finder: Production Workloads with Amazon EKS|Real Estate / PropTech|Tecnología|Real Estate / Proptech|Technology
unFVfqj9cQ8|Contino: Measuring Business Impact of Landing Zones|Consultoría / Cloud services|Transformación Digital|Consulting / Cloud Services|Consulting and Digital Transformation
bQqJpjv-FXs|ēdn: Reinventing Indoor Gardening with AWS IoT Core|Agricultura Urbana / IoT|Agricultura|Urban Agriculture / IoT|Agriculture
cmYI6axlicc|Pirelli: Building a Data Platform at Scale|Automotriz / Manufacturer|Automotriz|Automotive / Manufacturer|Automotive
ZA_0RMeeWpY|Dome9: CloudBots Make Compliance Easy|Seguridad / Cloud Security|Tecnología|Security / Cloud Security|Technology
YlGUMhls9ZA|Veolia: Serverless Solution for Cost Optimization (French)|Utilities / Servicios medioambientales|Recursos Naturales|Environmental Utilities / Services|Natural resources
K5ww_O4vsxo|Samsung Cloud: Global Hybrid Network Optimization|Tecnología / Telecom / Cloud|Tecnología|Technology / Telecom / Cloud|Technology
LYP98nPBj2A|Singtel: Next‑Generation Mobile Financial Services Platform|FinTech / Telecom|Tecnología|Fintech / Telecom|Technology
YrEc8oMIxDs|Thales: Automate Security Threat Detection (French)|Defensa / Seguridad|Tecnología|Defense / Security|Technology
HrYfdnPp6qs|STAX: AWS Automated Data Analytics|FinTech / Analytics|Tecnología|Fintech / Analytics|Technology
6sew_hdI6cY|Triboo: Hosting Magento on Containers|Retail / e-commerce|Retail|Retail / e-commerce|Retail
KM5ONS2fnG0|HP: Serverless Data Pipeline for Manufacturing|Manufactura / Industrial Tech|Tecnología|Manufacturing / Industrial Tech|Technology
qi017F1UwvM|Salesflo: Transforming FieldForce Operations|Logística / SaaS FieldForce|Logística y Transporte|Logistics / Saas Fieldforce|Logistics and transport
5EmA67lSJEs|Extreme Reach: AdBridge Platform|AdTech / Medios|Tecnología|Adtech / Media|Technology
E8wYXtvGy5k|Freightways: Serverless Tracking Solution|Logística / Transporte|Logística y Transporte|Logistics / Transportation|Logistics and transport
hMK2NJ-q9nc|WarnerMedia: Cloudbased Linear Playout System|Media / Broadcast|Tecnología|Media / Broadcast|Technology
GJ1So_pbZWk|Taysols: Recommendation System with SageMaker|Retail / AdTech|Retail|Retail / adtech|Retail
lTSZT10JMQA|Klap: Video Clipping Pipeline (French)|Media / VideoTech|Tecnología|Media / Videotech|Technology
StSuG6-iKW4|ThingCo: Serverless Telematics Platform|Telematics / IoT|Tecnología|Telematics / IoT|Technology
ekXdohpAy5U|Accenture: NLP and Graph DB for Oil & Gas Manufacture|Consultoría / Oil & Gas|Transformación Digital|Consulting / Oil & Gas|Consulting and Digital Transformation
JiWHomdh1oI|Datacoral: Using Serverless to Create Data Pipelines|Tech / Data Engineering|Tecnología|Tech / Data Engineering|Technology
lkDq9g43djw|FINBOURNE: Chaos Engineering Events|FinTech / Trading Tech|Tecnología|Fintech / Trading Tech|Technology
wjtSHyENv0I|Main Street America Insurance: Independent Agent Portal|Seguros / Insurance Tech|Seguros|Insurance / Insurance Tech|Insurance
T048vs9p1h4|DBS Bank: Scalable Serverless Compute Grid|Finanzas / Banca digital|Finanzas|Finance / Digital Banking|Finance
hlVnmCfydIs|Traeger Provisions: Personalizing Customer Support|Food & Beverage / Customer Support Tech|Food|Food & Beverage / Customer Support Tech|Food
oTtPNgcZ05I|Roche: Analytics & ML with Compliance|Pharma / HealthTech|Salud|Pharma / Healthtech|Health
1VcpCVe3tLQ|Swimming Australia: Olympics ML|Deporte / SportsTech|Deportes|Sport / Sportstech|Sports
uhrheMJTV4A|Aizon: Actionable Insights in Regulated Industries|Industrial / HealthTech|Transformación Digital|Industrial / Healthtech|Consulting and Digital Transformation
DxHO2TWVN8I|Equinix: Massive Data Ingest with Serverless Architecture|Data Center / Telecom|Tecnología|Data Center / Telecom|Technology
CsD5bmM6mpY|Linke (Syntax): Business Continuity Framework for SAP|Consultoría / SAP|Transformación Digital|Consulting / SAP|Consulting and Digital Transformation
Jz2RPRhF6Fs|Accolade: Security Excellence in Healthcare|HealthTech / Consultoría|Salud|Healthtech / Consulting|Health
-wLEkq21cvA|Versent: The Migration Factory|Consultoría / Cloud Migration|Transformación Digital|Consulting / Cloud Migration|Consulting and Digital Transformation
RxAmb57NCPM|Zalando: Highly Scalable Data Pipeline|Retail / E‑commerce|Retail|Retail / e -commerce|Retail
wtl7CrSQnHA|Fresenius Medical Care: Patient Care Insights|HealthTech / Medical|Salud|Healthtech / Medical|Health
Vrx9csoawWc|FINRA: Petabyte‑Scale Data Analysis on AWS|Finanzas / Regulatorio (Trading)|Finanzas|Finance / Regulatory (Trading)|Finance
PBa68gCG0Uk|Launchmetrics: Fashion & Beauty Data Insights|Retail / FashionTech|Retail|Retail / Fashiontech|Retail
2L0m28ZLmtE|Sanofi w/ TeamWork: OnDemand Data Science|Pharma / HealthTech|Salud|Pharma / Healthtech|Health
-S-R7MWRpaI|mimik: Hybrid Edge Cloud for Edge Microservice Mesh|Tech / Edge Computing|Tecnología|Tech / Edge Computing|Technology
hnMQFnTGr3I|Nanit: Streams and Analyzes Video from Cameras|Electrónica / IoT|Tecnología|Electronics / IoT|Technology
pk5yddJpC_8|Benevity: Centralized Logging with OpenSearch|Software / CSR Tech|Tecnología|Software / CSR Tech|Technology
qv9q0sFt6aY|LotteOn: BI Platform with Redshift & Glue|Retail / Marketplace|Retail|Retail / Marketplace|Retail
NfUwtK8ALtw|MX Player: Scalable EKS Video Streaming|Media / Streaming|Tecnología|Media / streaming|Technology
-S‑R7MWRpaI|mimik: Hybrid Edge Cloud for Edge Microservice Mesh|Tecnología / Edge Computing|Tecnología|Technology / Edge Computing|Technology
a1sEfGVDpEQ|Swiss Post Ltd: Security & Compliance of AWS Accounts|Logística / Correos / Compliance TI|Transporte y Logística|Logistics / emails / compliance ti|Transportation and logistics
O11BgSm7V14|HeyJobs: Serverless Data Platform for Recruiting|HR Tech / Reclutamiento SaaS|Transformación Digital|HR Tech / Saas Recruitment|Consulting and Digital Transformation
wbh51O3QrE4|Mahindra Electric: EV Platform on AWS|Automotriz / Mobility / Eléctrico|Automotriz|Automotive / Mobility / Electric|Automotive
b93-zn-DtBw|JD Power: Rankings Insights Engine with ML|Media / Ratings / Data Analytics|Tecnología|Media / Ratings / Data Analytics|Technology
