architecture,name,description,category,link,tipo_arquitectura,tipo_arquitectura_no_cloudfront,services,serverless_found,num_serverless,has_serverless,serverless_faas_found,num_serverless_faas,has_serverless_faas,serverless_compute_found,num_serverless_compute,has_serverless_compute,serverless_event_driven_found,num_serverless_event_driven,has_serverless_event_driven,belongs_edge,belongs_hpc,belongs_serverless,belongs_serverless_faas,belongs_serverless_compute,belongs_serverless_event_driven,belongs_none_analytical,belongs_edge_no_cloudfront,year_video
j-lPgPGBTwQ,Halter:Building the Future of Farming with IoT Enabled Livestock and Pasture Management,"This product has two flows (mainly). The first is data ingest that starts from the IoT device -> processing -> S3.
    The second flow is to fetch queried data to farmer's web app (data dashboard, a location heatmap in this case).
    IoT Device : a collar, solar powered gps enabled, uses sound and vibrations to give cues to the cows
    Connectivity challenge since farms are remote.
    1. Collars can talk to backend using WiFi (great for throughput but uses lot of power). Backend is IoTCore in this case.
    2. Collars otherwise use LoRa (long range low power technology). Backend is a thirdparty software on EC2 here.",data_ingestion,https://www.youtube.com/watch?v=j-lPgPGBTwQ,Edge,Edge,"['Lambda', 'S3', 'ThirdParty', 'IoTCore', 'UserConsumerFarmer', 'KinesisDataStream', 'KinesisAnalytics', 'Fargate', 'EC2', 'Athena']","['Fargate', 'Lambda', 'S3']",3,True,['Lambda'],1,True,['Fargate'],1,True,[],0,False,True,False,True,True,True,False,False,True,2022
Gds8hl8dKuo,Fugue: Staying in Compliance by Automating Drift Detection,"Infra provisioning to help businesses build infra in a compliant manner. 
    Congiguration manager - drift detection and enforcement
    s3 is used to store the infra mapping and the declared policies
    This runs in customer's AWS Account
    Scan infra config at a regular interval to detect the config drift",control,https://www.youtube.com/watch?v=Gds8hl8dKuo,,,"['SQS', 'KMS', 'UserCompanyAgent', 'SNS', 'DynamoDB', 'EC2', 'S3']","['DynamoDB', 'S3', 'SNS', 'SQS']",4,True,[],0,False,[],0,False,['SNS'],1,True,False,False,True,False,False,True,False,False,2019
j9OZ-7aCAyA,Homesite: Event-Driven Data Analytics Platform Using Amazon Neptune,Step functions - some actions would exceed Lambda execution window and need tight coordination. Provide one cohesive vision of data produced at different granularities and schemas. Pipeline config(in any format) is stored in dynamo and triggered using Lambda. Scale up based on the workload - cost savings up to 50%. Graph DB to process complex data and store the results in S3(cheaper) and doing queries using serverless Athena.,data_ingestion,https://www.youtube.com/watch?v=j9OZ-7aCAyA,,,"['SQS', 'Glue', 'StepFunctions', 'Lambda', 'UserCompanyDataStream', 'ThirdParty', 'DynamoDB', 'Neptune', 'S3']","['DynamoDB', 'Lambda', 'S3', 'SQS', 'StepFunctions']",5,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2020
Eoq7E6jMtBs,Orangetheory Fitness: Using Chime SDK to Power Coach-led Virtual Workouts with OTlive,"fitness studio providing coach led classes. OTLive is the digital product. virtual classes. rely on chime sdk for 
    video experience between coach and member. during call, heart rate monitors used, data collected every second.
     how is low latency ensured? from chime. data stored both in S3 and dynamoDB. future? more scale, video-on-demand.",interactive,https://www.youtube.com/watch?v=Eoq7E6jMtBs,,,"['UserConsumerMobile', 'Lambda', 'Cognito', 'ApiGateway', 'Chime', 'DynamoDB', 'Kinesis', 'Aurora', 'S3']","['APIGateway', 'DynamoDB', 'Lambda', 'S3']",4,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2020
1kWxymroGeE,OutSystems: Decomposing a Data Monolith for Scale and MultiTenancy,"Data is key to monolith decomposition. This video talks about how data was split across services.    
    The interesting point is their design choice of tiering some of their data and offloading it to cheaper dynamodb from aurora.
    They don't quite go into the details though.
    All encrypted data is pushed straight to secrets manager.",control,https://www.youtube.com/watch?v=1kWxymroGeE,,,"['KMS', 'S3', 'DynamoDB', 'Aurora', 'SecretsManager']","['DynamoDB', 'S3']",2,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2022
M_hqigB9C4I,Innovaccer: Deriving Insights from Healthcare Data to Empower Care Teams,"10 million patients data with 20B records
    Transform patient health data to unified canonical model
    To uniquely identify patients data and deduplicate them - Neo4J corelation engine provides algorithms to do that natively
    Hadoop, HDFS, Spark Jobs to EMR and S3 -> significant cost savings more than half
    Aurora to power applications
    Amazon Connect to trigger contact flow to reach out to patient if required
    Amazon Connect proactively reaches out to patients on alerts (no human intervention).
    Future plans of using Sagemaker to make predictive health analysis","data_ingestion,compute_intensive",https://www.youtube.com/watch?v=M_hqigB9C4I,,,"['EMR', 'UserCompanyDataStream', 'ThirdParty', 'RedShift', 'Aurora', 'UserConsumerWeb', 'Connect', 'S3']",['S3'],1,True,[],0,False,[],0,False,[],0,False,False,False,True,False,False,False,False,False,2019
_vjB_vF4Uec,Nasuni: Building a Global File Lock Service on AWS,Global file locking infra. Latency sensitive - so using dymano. Multi region service. Lambda was used to achieve global consistency before dynamo global tables were introduced. Route53 to handle region failovers. 31B requests in a year. 2000 requests/sec. 40 ms latency target for the complete transaction.,interactive,https://www.youtube.com/watch?v=_vjB_vF4Uec,Edge,Edge,"['Lambda', 'UserConsumerEdge', 'ELB', 'DynamoDB', 'EC2', 'Route53']","['DynamoDB', 'Lambda']",2,True,['Lambda'],1,True,[],0,False,[],0,False,True,False,True,True,False,False,False,True,2021
lA0lAgN0hTI,Irdeto: Multi DRM Solution with Kubernetes on Amazon EC2 and Amazon RDS,"The graph details don't quite fit the model we are following.
    Digital Rights Management System
    Owner of video/audio content can encrypt and securely pass the key to the user.
    User downloads/selects a video from the operator's web/app.
    Irdeto Control checks what exact entitlements and licenses are required. Send those to the user.",interactive,https://www.youtube.com/watch?v=lA0lAgN0hTI,,,"['UserConsumerWeb', 'ThirdParty', 'RDS', 'EC2']",[],0,False,[],0,False,[],0,False,[],0,False,False,False,False,False,False,False,True,False,2019
9yziTe6lBwk,Ânima Educação: Digitizing Student Experience for Colleges in Brazil,"Education company in brazil providing low-cost education from monolithic to cloud using AWS. use cloudfront to reduce latency, because legacy systems still in Brazil datacenters, while the new cloud architecture is in Virginia. when RDS vs S3: unstructured data like images, videos, logs are on S3 and ElasticSearch (but not shown in the graph). Previously, only one large db with ETL; now with more databases, need a datalake. [Question]: Glue puts data into S3 before loading into RedShift. Why not just directly put into S3?",interactive,https://www.youtube.com/watch?v=9yziTe6lBwk,Edge,,"['Glue', 'ElastiCache', 'RDS', 'S3', 'CloudFront', 'ELB', 'EKS', 'RedShift', 'UserConsumerMobile', 'Route53']",['S3'],1,True,[],0,False,[],0,False,[],0,False,True,False,True,False,False,False,False,False,2020
UsngU-HjH_Q,ViacomCBS: Multiplatform Distribution Powered by AWS,mass media company. global scale. most-watched network in US. largest archive in the world.cost saving. they have a come and get me model.,control,https://www.youtube.com/watch?v=UsngU-HjH_Q,,,"['SQS', 'Lambda', 'UserCompanyDataStream', 'ApiGateway', 'ThirdParty', 'DynamoDB', 'EC2', 'UserConsumerAPI', 'S3']","['APIGateway', 'DynamoDB', 'Lambda', 'S3', 'SQS']",5,True,['Lambda'],1,True,[],0,False,[],0,False,False,False,True,True,False,False,False,False,2020
