architecture,name,description,category,link,tipo_arquitectura,services
cRxvZBIa-gI,"Equifax: Achieving Cost Savings and Reliability with EKS, Graviton2, and Aurora Global",60-70 percent cost savings with the right balanced use of on-demand EC2 + Spot Instances60 percent spot instances and 40 percent of on-demans ec2 instances,interactive,https://www.youtube.com/watch?v=cRxvZBIa-gI,,"['ThirdParty', 'ALB', 'EKS', 'Aurora', 'UserConsumerMobile']"
HwHVFWdczVw,MailUp Group: Marketing Campaign Planning and Management Italian,"MailUp Clients can plan and send marketing campaignes to their clients (instant messaging apps). 
    MailUp clients are shown as UserConsumerWeb in the graph.
    Target clients are shows as UserConsumerMobile in the graph.
    The above is based on vocabulary used in the video -- they are not explicit about it.
    App logic is implemented on an ECS cluster, eg user authentication, managing bots, url shortening, webhook.
    Webhook events are stored in DynamoDB.
    RDS uses MySQL.
    High availability and resilience of the app: data - RDS, cluster - config to ensure atleast one EC2 in each availability zone.
    ElastiCache uses Redis Cache.",interactive,https://www.youtube.com/watch?v=HwHVFWdczVw,Edge,"['S3', 'ECS', 'ALB', 'DynamoDB', 'SQS', 'UserConsumerWebMobile', 'CloudFront', 'ElastiCache', 'RDS']"
GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,"IOT connected robot company. This video explains their data lake architecture.
    Input data (JSON records) is first stored in S3. Glue crawler then catalogues it and stores in data catalogue.
    Data catalogue allows inspecting schema of the incoming data.
    A Glue job then reads the recently arrived data and transforms it into parquet format. This is then written to another S3.
    This format allows faster cheaper queries on historical data.
    Video doesn't have much in terms of graph.",data_ingestion,https://www.youtube.com/watch?v=GoziWpmFCS0,Edge,"['Athena', 'Glue', 'S3']"
qgW8LQ8iBuA,Hancom: Building a Real-time Office Collaboration Service (Korean),"storage for safely storing files and a subscription service. provide interworking services. vpc for communication over 6 regions. didnt use aurora db first. lot of resources required. no stability. doubled their service, but still easy now. 6 copy - 3AZ.",data_ingestion,https://www.youtube.com/watch?v=qgW8LQ8iBuA,,"['ThirdParty', 'S3', 'UserCompanyAgent', 'ELB', 'Aurora', 'EC2', 'ElastiCache']"
a1sEfGVDpEQ,Swiss Post Ltd: Security and Compliance of AWS Accounts at Scale German,"Security logs and events are accumulated from various member accounts (the first SecurityHub and GuardDuty)
    into a central set of services (SecurityHub and GuardDuty).
    A lambda reads all the data and sends to consumers after some filtering.
    An S3 bucket holds security policy data (json) and any config updates (policy update) are applied via a lambda.
    The video mentions that StepFunctions are used for auto-remediation but does not elaborate further.",data_ingestion,https://www.youtube.com/watch?v=a1sEfGVDpEQ,,"['Lambda', 'ThirdParty', 'S3', 'Firehose', 'SecurityHub', 'GuardDuty', 'StepFunctions']"
XG6mHvi4eNU,Avaloq: Automating the Provisioning of a Bank-in-a-Box in Minutes Using Amazon EKS,"Bank-in-a-Box system for partners to test their APIs. use immutable infra to provision a sandbox in 50 min (fast enough for them, as customers provision/install their own systems take way longer). pre-bake the accounts (warm accounts) to speed up the process. use of EKS for better orchestration as they did not want to build whole control plane - low maintenance effort. AWS IAM roles to enable authorization uncoded.5 minute infrastructure provisioning. Pre-provisioned accounts",control,https://www.youtube.com/watch?v=XG6mHvi4eNU,,"['S3', 'UserCompanyDeveloper', 'EKS', 'ECR', 'EC2', 'AMI']"
EW4X5z7m-0U,Vanguard: A Modern Network TAP Solution for The Cloud,"Video is about network taps and related security.
    Tap: capture network traffic and send it somewhere else to use for analytics.
    Capture all the AWS traffic and send it to the legacy on-premise system.
    This video is a lot more detailed compared to other videos in the series.
    Multiple accounts are being used in this architecture.
    (ELB, EC2) represent an application account. There are many such applications.
    (Kinesis, DynamoDB) are in the security account. The two accounts interact via PrivateLink.
    Lambda@Edge is used to extract the layer 3 network info of a packet, because in later hops this info gets lost. This info is key for analytics.
    2 EC2 servers. First terminates the encrypted connection.
    Second makes Use of loopback intf. The traffic is therefore not leaving the EC2. An agent sniffs the loopback data and captures data unencrypted.
    Agent batches all data and sends to Kinesis over a PrivateLink (cross account communication through PrivateLink).
    Scaling is manual. They configure number of shards in Kinesis based on observed traffic volume.
    Handling ordering of traffic in Kinesis. All packets representing a single session must stay on a single shard. Same session - same port, so use port as hashkey for kinesis stream!
    Legacy consumers spread across mutliple datacenters. (Primary-Backup kind)
    DynamoDB is being used as sort of a locking mechanism for graceful failover. Legacy systems stay in sync with DynamoDB, so failures can be detected and failovers can be done easily.",data_ingestion,https://www.youtube.com/watch?v=EW4X5z7m-0U,Edge,"['Lambda', 'ThirdParty', 'Kinesis', 'PrivateLink', 'ELB', 'CloudFront', 'UserConsumerWeb', 'EC2', 'DynamoDB']"
WS2Qgx0qgCM,Airbnb: Securing MultiTenant Kubernetes Clusters at Scale,"Airbnb runs their own Kubernetes clusters on EC2.
    This is because sometimes they need their own features or back port fixes.
    Many pods run on a single host and they fine-grain IAM roles to these pods.
    The first EC2 provides tokens to each pod. Pod forwards it to STS.
    STS checks the IAM role and sends credentials back to the Pod.
    Security is defined based on namespaces and IAM roles.
    Events are stored in CloudTrail which is queried using ElasticSearch for patterns/debugging.",control,https://www.youtube.com/watch?v=WS2Qgx0qgCM,,"['IAM', 'STS', 'EC2', 'OpenSearch', 'CloudTrail']"
_vjB_vF4Uec,Nasuni: Building a Global File Lock Service on AWS,Global file locking infra. Latency sensitive - so using dymano. Multi region service. Lambda was used to achieve global consistency before dynamo global tables were introduced. Route53 to handle region failovers. 31B requests in a year. 2000 requests/sec. 40 ms latency target for the complete transaction.,interactive,https://www.youtube.com/watch?v=_vjB_vF4Uec,Edge,"['Lambda', 'UserConsumerEdge', 'ELB', 'Route53', 'EC2', 'DynamoDB']"
tVjrkpjWG5o,Pason Systems: Petabyte Scale Drilling Datamart on AWS LIVE,"End to end ecosystem for managing oil and drilling data.
    Simple interface to access their drilling sensor data.
    Contractors and Operators use JDBC/ODBC drivers to connect to Presto.
    Apache Presto is running on EMR. Provides unified view into different data sources.
    EMR FS is used to store sensor data.
    Many microservices run on the EC2. One of those is the ETL service (shown in graph).","data_ingestion,compute_intensive",https://www.youtube.com/watch?v=tVjrkpjWG5o,Edge,"['EMR', 'ThirdParty', 'S3', 'UserConsumerAPI', 'EC2', 'RDS']"
mmM_JnYygZM,SHOPLINE: Building E-Commerce O2O platform on AWS (Cantonese),"E-commers O2O platform. The video focuses on authentication and data synchronization.
    UserCompanyDataStream is MongoDB managed into a private network.
    Easy to extend and reuse existing infrastructure. Good for agile development to quick reach the market.",interactive,https://www.youtube.com/watch?v=mmM_JnYygZM,Edge,"['ThirdParty', 'UserConsumerPOS', 'CloudWatch', 'S3', 'ECS', 'UserConsumerWeb', 'UserCompanyDataStream', 'ApiGateway']"
mZxF1IJEsaY,Zappos: Back Office Migration starring Amazon ECS and Amazon Aurora,"AmazonMQ chosen due to same interface compared to ActiveMQ (which was originally used)
    Migrated from Oracle to Aurora",data_ingestion,https://www.youtube.com/watch?v=mZxF1IJEsaY,,"['ECS', 'ALB', 'Route53', 'Aurora', 'AmazonMQ', 'DMS']"
